Sygdom 	Tyngde 	Emne 	Definition 	Forekomst 	Patogenese 	Ætiologi 	Symptomer og fund 	Diagnostik 	Følgetilstande 	Behandling 	Forebyggelse 	Prognose	prioritet
Væksthæmning af fosteret 		Gynækologi og obstetrik	Fostre, der ikke følger den normale vækstkurve.	3-4% af nyfødte børn har fostervægt, der ligger under 3%-percentilen. 	I de fleste tilfælde skyldes væksthæmningen en dårlig placentafunktion, hvor fosteret ikke får tilstrækkelig næring. Hos 20% er årsagen flerfoldsgraviditet, misdannelser, kromosomfejl eller infektioner. 	Reduceret placentrafunktion ses især ved forhøjet blodtryk, misdannelse af livmoderen, alkohol- og medicinforbrug, tobaksrygning og svær anæmi. 	Noamlt ingen symptomer, men det kan bemærkes at maven er mindre og muligvis mærker moren mindre liv. 	Når der er rejst mistanke om væksthæmning vurderes forsteret ved ultralydsscanning og tilvæksten følges hver 2. uge. Hos det meget væksthæmmede foster følges det med gentagne CTG-scanninger. 	Mere sårbart foster, færre ressourcer, øget risiko for iltmangel og fosterskader i forbindelse med fødsel. Fosterhæmmet vækst er den 3. hyppigste årsag til neonatal motalitet og morbiditet. Risisko for neurologiske og fysiske følger. 	Begrænset mulighed for behandling, Ved svært væksthæmning vælges kejsersnit for at skåne fosteret mest muligt. 			Mellem
Præeklampsi (svangerskabsforgiftning)		Gynækologi og obstetrik	Præeklampsi er en tilstand med hypertension, og protein i urinen efter 20. graviditetsuge. 	Ses hos 1-2% af gravide. Optræder hyppigst hos førstegangsfødende og forsvinder efter fødslen. 	Præeklampsi skyldes karmodstand i både placenta og i morens kredsløb. Blodgennemstrømningen og hermed funktionen af placenta nedsættes. 	Kendes ikke helt. Immunologiske forhold menes at have beytydning. Risiko øges ved diabetes, hypertension, fedme og autoimmune sygdomme hos moren og ved flerfoldsgraviditet. 	Hos moren kan det medføre hastig vægtøgning og ødemer, subjektive symptomer som høvedpine og svimmelhed. I svære tilfælde med meget højt blodtryk kan der være synsforstyrrelser, kvalme, opkastning, mavesmerter og trykken for brystet. Der vil typisk være tegn på funktionsnedsættelse af placenta og væksthæmning. 	Diagnose stilles på baggrund af blodtryk, proteinudskillelse i urinen og morens symptomer. Sværhedesgraden findes ved blodprøver, der udtrykker væskebalancen, nyre- og leverfunktion. Barnets vækst følges med ultralyd og CTG-scanning. 	Øger risiko for væksthæmning af fosteret. Moren kan risikere krampeanfald før, under og efter fødsel samt nedsat hjerteødem, lungeødem og aftagende nyrefunktion. 	Behandles med blodtrykssænkende medicin, men i små doser, ved mistanke om krampeanfald gives magnesiumdrop. Fødslen sættes enten i gang eller tages ved kejsersnit. 			Mellem
Forkølelse (Rhinosinuitis acuta)		Infektionssygdomme 	Virusbetinget øvre luftvejsinfektion, der rammer slimhinden i næsen, svælg og bihulerne. 	Den hyppigste infektionssygdom i den vestlige verden, børn under 3-4 år har 8-10 tilfælde årligt. Voksne har 2-4 årligt. 	Virus smitter gennem dåbeinfektion. Virus påvirker slimhinden i øvre luftveje og nedsætetr fimrehårenes funktion. Endelig øges sekretproduktionen har slimhinden. 	Forkølelserne optræder især i vinterhalvåret, hvor man opholder sig meget inde og med dårlig udluftning. Desuden har håndhygiejne stor betydning og stor smitte ses typsik i institutioner. 	Udvikles i løbet af kort tid, tilstopning af næsen, kradsen i svælget, næseflåd, nysen og evt. påvirkning af bihulerne med hovedpine, tykken bag øjnene og smerter over kæben. Nedsat lugtesans. 	Inspektion af næse og svælg vil vise svulne og røde slimhinder, ved bihulebetændelse vil næsen inspiseres med lysstav, hvorved pus under muslingebenet og på bagvæggen af svælget kan konstateres. 	Forsvinder typisk i løbet af en uges tid. Bihulebetændelse. Hos bør er større der risiko for mellemørebetændelse. Påvirket alemntilstand. 	Ingen målrettet behandling mod virus, men smertestillende håndkøbsmedicin, næse kan skylles med saltvand, næsespray, bihulebetændelse behandles med antibiotika. 	God udluftning og god hygiejne. 	Langt de fleste kommer sig hurtigt. De få der udvikler svære komplikationer kan få varige mén. 	Ikke pensum
Akut bihulebetændelse 		Infektionssygdomme 	Akut bihulebetændelse skyldes, at bihulerne rammes af bakterier fra næsehulen i tilslutning til forkølelse. 	ca. 0,5% af forkølelser udvikler sig til bihulebetændelse. 	Starter typisk med en virus iform af forkølelse, bakterierne breder sig fra næsen til bihulerne, hvor der dannes pus og skabes tryk og smerter. 	Typisk om bakteriel infektion med influenza, streptokokker eller staphylokkokker. 	Gulligt, grønligt eller gråligt sekret fra næsen og udtalte lokale smerter. Opstår typisk efter 3-5 dages forkølelse. Til forskel fra forkølelse er der typisk ledsaget temperaturstigninger. 	Tstilles på baggrund af sygdomsforløbet. Der kan suppleres med en blodprøve i akutfasn, hvor C-reaktiv protein (CRP) typisk er forhøjet. 	Der kan udvikles kronisk bihulebetændelse. Især voksne med allergi, næsepolypper og snævre pladsforhold er i risiko. Sjældne tilfælde ses bakterirel spredning til øjenhule eller hjerne. 	Næsen skylles med saltvand efterfulgt af steroidholdige dråber. Antibiotika. 	Forkølelse er vanskelige at undgå, men god hygiejne og udluftning. 	Næsten alle bliver helt symptomfri ved behandling. Mellem 5-15% i DK har en form for kronisk bihulebetændelse. 	Høj
Otitis media acuta (akut mellemørebetændelse)		Infektionssygdomme 	Bakteriel infektion i mellemøret. 	Næsthyppigste infektionssygdom blandt børn. Forekomsten topper i 10-12 måneders alderen og ca. 2/3 af alle børn har haft minimum 1 tilfælde inden etårsalderen. 	Bakterier fra næsen vandrer op i mellemøret. Da der er hævelse og ikke luft gennem udvikles der et undertryk i mellemøret og trommehinden suges indad i mellemørehulen. Efterhånden træder væske ud af mellemøreslimhinden pga. dette undertryk og der udvikles infektion og fatale smerter. Den lokale infektion udvikler høj feber. 	Typisk bakterien streptokokker eller influenza. Ophold i daginstitution disponerer for udvikling af akut mellemørebetændelse. 	Typsik et forkølet barn under 2 år, feber, udtalte smerter, tager sig til ørerne, typisk er alemntilstanden påvirket og der kan være symptomer fra mave-tarm ved spiseværring og diarré. 	Trommehinden undersøges med otoskop, hvor man vil finde en gullig pusansamling bag trommehinden, der buler ud i øregangen. Evt. er trommehinden sprængt, hvorfra der vil flyde pus ud. 	90% vil være symptomfri i løbet af et par dage. 10% vil have et længere forløb. 1/3 vil senere udvikle akut mellemørebetændelse igen og ca. 25% udvikler væske i mellemøret uden akutte symptomer. 	Typisk forsvinder infektionen i løbet af et par dage, men i mellemtiden kan der gives smertestillende behandling. Længerevarende forløb og meget påvirkede børn kan behandles med antibiotika. Ved hyppige akutte mellemørebetændelser kan der anlægges dræn i trommehinden. 	Da den er stærkt associaseret med pasning i daginstitution er det væsentligt at have god hygiejne og god udluftning. 	Stort set alle vil komme sig fuldstændigt, men 10% af børn over 7 år vil stadig have permanente forandringer i trommehinden, disse kan dog opreres med godt resultat. 	Høj
Pharyngitis acuta (akut svælgkatar)		Infektionssygdomme 	Akut virusbetinget infektion i slimhinden i svælget. 	Oplever typisk minimum 1 tilfælde årligt. "ondt i halsen". 	Patogenesen er som ved forkølelse, hvor slimhindens fimrehår går i stå og dermed ikke forhindrer indtrængen af bakterier, hvorfor der kommer ødemer og øget sekretproduktion. 	Kan fremkaldes af flere forskellige virusser, typisk forkølelse, influenza. 	Kradsende halssmerter, smerter ved synkning, let påvirket almentilstand med hoste og hovedpine. Ses typisk i forbindelse med forkølelse, hvorfra de er næseflåd og nysen. 	Rødme og ødemer på slimhinden i svælget, evt. lidt sekretbelægning. Let forstørrede lymfeknuder på halsen. Opmærksomhed på akut bakteriel infektion i mandlerne. 	Kan udvikle sig til mere eller mindre kroniske symptomer især i forbindelse med rygning eller øvre luftvejsallergi. Der kan optræde sekundær bakteriel infektion af især mandlerne. 	Symptomlindring ved indtagelse af varme drikke, irritationsfaktorer bør undgås, der skal kun behandles med antibiotika såfremt sekundær bakteriel følgetilstand optræder. 	God hygiejne og god udluftning. 	Stort set alle kommer sig fuldstændig uden mén. 	Ikke pensum
Bakteriel tonsillitis acuta (akut halsbetændelse)		Infektionssygdomme 	En bakteriel infektion i mandlerne. 	ca. 0,5-1 mio årlige tilfælde. 	Ofte forudgående virus infektion, dvs. akut svælgkatar. Herved bliver slimhinden sårbar og mere modtagelig overfor infektioner. Mandlerne svulmer op og kan nå en monstrøs størrelse. 	Infektionen skyldes især A-streptokokker. 	Typisk et par dages forudgående virusinfektion, der efterhånden udvikler feber, påvirket alemntilstand og synkebesvær. Forstørrede lymfeknuder på halsen. 	Inspektion af mundhulen, hvor der ses store hævede mandler, rød slimhinde. Temp over 38,5 grader. For at skelne fra den virusbetingende svælgkatar kan en antigen-antistoftest tages. Endelig skal man være opmærksom på kyssesyge. 	Der kan udvikles kroniske symptomer med synkebesvær og irritation i halsen. 	Akut halsbetændelse behandles med pencillin og endvidere væsketerapi. I tilfælde af gentagne halsbetændelser eller stor byld kan mandlerne fjernes kirurgisk. 	Forebyggelse af forkølelse og akut svælgkatar ved god hygiejne og god udluftning. 	Langtd e fleste er kureret efter antibiotisk behandling. Nogle oplever bylder omkring mandlerne, men disse behandles kirurgisk. 	Høj
Mononucleosis infectiosa (kyssesyge)		Infektionssygdomme 	En infektion med Epstein-Barr-virus, der rammer mange forskellige organer. 	Kyssesyge er særdeles udbredt og ved blodprøve har 95% af voksne danskere haft sygdommen. Ofte smittes man i barndomme, hvor den ikke give symptomer. 20-25% af unge og voksne der førstegangssmittes udvikler klinisk manifets kyssesyge. 	Smitte med Epstein-Barr-virus sker ved personkontakt og ofte spyt. Inkubationstid på 3-7 uger. Virussen påvirker slimhinden og svælget, men derudover i lymfocytterne, hvilket betyder, at de transporteres rundt i kroppen og bliver bl.a. optaget i lymfeknuderne, leveren og milten. 	Ca. 95% skylde Epstein-Barr-virus, men andre virusser kan også være årsagen. 	Symptomerne starter med at være influenzalignende, senere hen særdeles træt, forstørrede mandler med tykke belægninger, forstørrede lymfeknuder på hals, armhuler og i lysken, evt. mavesmerter, forstørret lever og milt. 	Klinisk undersøgelse af svælg suppleret med blodprøver til påvisning af atypisk udseende lymfocytter og Epstein-Barr-virus. 	Akutte bakterielle komplikationer, bylder omkring mandlerne. 	Ingen specifik behandling, ved mistanke om sekundær bakteriel infektion i mandlerne gives antibiotika, smertedække pt og evt. intravenøs væskebehandling. 	Det ville ikke være tjenligt at forebygge, særligt godt at blive ramt i en ung alder, hvor symptomerne er minimale. Når man har været smittet er man livslangt beskyttet. 	Alle patienter kommer sig uden mén , men sygdomsforløbet kan være særdeles langt og udmattende. 	Ikke pensum
Bronchitis acuta (akut bronkitis)		Infektionssygdomme 	Akut overfladisk, inflammatorisk lidelse i luftrøret og de små bronkier. Akut bronkitis er udløst af en infektion og er forbigående med en varighed på dage eller uger. 	5% af befolkning får hvert år stilles diagnosen. Hyppigst om vinteren og hos børn under 5 år. 	Infektionen i bronkieslimhinden medfører hævelse i øvre luftvej og længere nede i bronkietræet. Der sker øget sekretion af slim og hoste for at rense luftvejene for sekret. 	Infektionen i luftvejsepitelet skyldes typisk en virus. Rhino- og coronavirus er de hyppigste, men influenza- og adenovirus kan give svære tilfælde. 	Starter typsik som almindelig forkølelse med snot, næseflåd, tilstoppet næse og ondt i halsen og let tempeturforøgelse. Herefter komme hoste, der er det primære symptom, pbiende/hvæsende vejrtrækning  forekommer hyppigt hos børn. 	Stilles primært ved det kliniske billede og skelnes fra pneumoni ved, at der ved stetoskopi ikke høres en knitrende fin lyd på lungerne. Blodprøve kan være svære at skelne fra lungebetændelse, men kan indgå i overvejelser omkring antibiotika. 	astmaanflad, forværring af KOL, svækkede patienter kan opleve langvarige forløb. 	Symptomatisk, lindre  gener: eleveret hovedleje, næsespray, inhalator, hvis luftvejene er meget sammentrukkede. Da den primære årsag er viral gives der sjældent antibiotika. 	Hyppig håndvask, rygeophør, vaccination til børn og voksne i særlig risiko. 	god, alle bliver stort set spontant raske. 	Ikke pensum
Pneumoni (lungebetændelse)		Infektionssygdomme 	Akut betændelse i lungevævet og de små bronkier. Forårsaget af en bakterie eller et virus. 	Ca. 60.000 tilfælde årligt. 	Ofte virus, men kan også være bakteriel. Infektion i bronkieslimhinden medfører hævelse og sekretion. Immunforsvaret reagerer på udefrakommende patogener ved at udsende hvide blodlegemer ud på slimoverfladen, og dermed kommer sekretion af slim. Derfor hoster man. 	I op mod halvdelen af tilfældene er det ikke muligt at påvise et specifikt agens, der er årsag. Den hyppigste er dog pneumokokker. 	Typisk pludseligt opstået feber, kulderystelser og alment ubehag. Først er der tør hoste, som evt. senere bliver blodtilblandet. Hyppigt smerter ved thoras ved dyb vejrtrækning, hvorfor den har tendens til at blive let og hurtig. Fortykkede slimhinder og sekretfyldte luftveje medfører åndenød og blå hud. 	Ved lungestetoskopi høres dæmpning og rallelyde. Røngentundersøgelse viser fortætning i én eller flere lungelapper. Plodprøve vil ved typisk pneomoni vise udtalt forhøjelse af forskellige infektionsmarkører, evt. PCR eller antigentest. 	Kan medføre betændelse i lungehinden, væskeansamling mellem lungehinderne. Sepsistilstand, hvis bakterierne spreder sig fra lungevævet til blodet. 	Behandles med antibiotika, ved respiratorisk svigt er der behov for respiratorbehandling, lungefysioterapi, CPAP-makse, PEP-fløjte til at løsne sekret. 	Optimal behandling af grundsygdom, vaccination af risikogrupper, god hygiejne. 	De fleste pneumoner har en god prognose, men svære pneumonier kan godt havde døden til følge, da den ofte er et ledsagefænomen til anden sygdom. Ældre kronisk syge, der pådrager sig en pneumoni er i høj risiko for død. 	Høj
Influenza		Infektionssygdomme 	Akut virusinfektion forårsaget af influenzavirus, der giver bronkitis og ledsaget af symptomtriader: feber, luftvejssymptomer og muskelsmerter. 	Optræder i alle aldersgrupper, især om vinteren. 	Skyldes influenzavirus type A eller B. 	Virus overføres med luftvejssekret. virus trænger herefter ind i dybere væv og deler og spreder sig. H- og N-proteiner.	Pludelig feber, kulderystelser, hovedpine, muskelsmerter og nedsat appetit. Hertil kommer hoste og halssmerter smat almen sygdomsfølelse, 	Diagnostiseres efter symptomer, svælgpodning til PCR, kviktest. Hvis blodprøven viser meget høje CRP-tal må man overveje sekundær bakteriel infektion. 	I de fleste tilfælde aftager symptomerne i løbet af et par dage. Der kan optræde komplikationer ved primær viral eller sekundær pneumoni med pneumokokker eller stafylokokker. 	Symptomatisk behandling, raske børn og voksne behøver ikke yderligere behandling. Kan gives febernedsættede medicin. Behandling til risikogruppe har kun efter, hvis den gives mindre end 48 timer efter symptomstart. Ved bakteriel infektion gives antibiotika. 	God håndhygiejne, udluftning og vaccine kan forebygge. 	Hos hovedparten er prognonsen god, men hos den i forvejen svækkede patient kan infektionen være svær at bekæmpe og føre til dødsfald. 	Høj
Tuberkulose 		Infektionssygdomme 	En infektion med mykobakterier. Skelnes mellem pulmonal TB, der findes i lungerne og ekstrapulmonal Tb der findes uden for lungerne. Ved latent infektion findes bakterien i kroppen uden at give gener, ved aktiv infektion er der symptomer. 	1/3 anslås at være latent inficeret. 10% udvikler aktiv infektion. I DK er der 300-500 årlige tilfælde. 	Virus overføres ved dråbesmitte fra luftvejssekret, men er ikke specielt smitsom. Virus bindes til luftvejsepitelet. Mykobakterierne er langsomt voksen, og trives især i højt oxygeninhold, de holdes skjult i immunforsvaret og kan senere bryde ud i aktiv sygdom, f.eks. ved aldersvækkelse eller HIV-infektion. 	Skyldes infektion med Mycobacterium tuberculosis-komplekset. 	Udviklses langsomt med gradvist indsættende feber, nattesved og vægttab. Langvarig hoste evt. med blod, åndendød, brystsmerter ved vejrtrækning og kan typisk høres som knitren ved lungestetoskopi. På røngent ses fortætning især i de øverste segmenter af lungerne. Meget karakteritisk ses der udvikling af hulrum, der er luftfyldte områder, hvor lungevævet er destrueret. 	For at stille aktiv TB skal der påvises bakterien, typisk ved en vævsprøve af det berørte område. Latent TB påvises ved at immunforsvaret reagerer mod TB. 	Destruktion af lungevæv, varig lungeskade og åndenød. Afhængig af, hvilke områder bakterieren inficerer kan der komme alvorlige skader, der fører til høj dødelighed. 	TB behandles med antibiotika, men det er en langvarig ebhandling, da der let udvikles resistens. Behnadlingen kan strække sig helt op til 10 år. 	Ved aktiv TB skal der foretages smittesporing. Vaccine, dog ikke så effektiv. 	Hovedparten kureres med 6 måneders behandling, nogle få procent dør under behandling. De fleste har ingen følger, emn der kan være dannet arvæv efter vævsdestruktion i lunger eller andre organer. 	Ikke pensum
Akut mave-tarm-infektion		Infektionssygdomme 	Defineres som øget fæsces udskillelse (>250g/døgn) og/eller tre løse eller vandige afføringer pr. døgn med varighed under 14 dage. Over 14 dage karakteriseres det som kronisk diarré. Gatroentritis anvendes ved både opkastninger og diarré. Entritis er kun ved diarré. 	I Vesteuropa er der ca. 1-2 tilfælde pr. person årligt. 	Den primære smittevej er gennem føde eller urent drikkevand. Mikroorganismerne påvirker primært tyndtarmen og giver anledning til store og vandige afføringer, hvor et stort antal patogener udskilles. 	Gastoentritis kan både forårsages af abkterier, virus og parasitter. 	Hovedsymptom er diarré, opkastninger, dehydrering, mavesmerter, luft i maven, blod og slim i afføringen. Anamnese vil typisk give et tegn om ætiologien. 	Typisk ukompliceret og selvimiterende forløb, hvorfor der normalt ikke er behov for diagnostik elelr behandling. Ved svær eller længerevarende diarré undersøges fæces for bakterier, mikroorganismer og parasitter. Blodprøve, koloskopi og biopsi. 	svær dehydrering kan give akut nyresvigt. Reaktiv artrit ses efter infektion med særlige bakterier. Alvolige komplikationer er sepsis, meningitis, knogleinfektion og infektion i karvæggen. 	Vigtigst er at forhindre dehydrering. Svært dehydrerede patienter, der ikke er i stand til at drikke gives intravenøst væske og elektrolytter. Generelt anbefales yderligere præparater ikke, medmindre det er meget svære tilfælde med høj feber og blodig diarré. ved kendt ætiologi kan der behandles med antibiotika ved udvalgte bakterier og parasitter. 	Forbedrede sanitære forhold, rent vand, toiletter, god håndhygiejne i køkkener. 	Der ses ca. 1,4 mio dødsfald forårsages af diarré årligt, primært hos underernærede børn. I DK er det typisk milde forløb med få dages varighed. 	Høj
Urinvejsinfektioner		Infektionssygdomme 	Urinvejsinfektioner omfatte blærebetændelse, nyebækkenbetændelse og urosepsis, der er bakterier i blodet udgået fra urinen. 	UVI er en hyppig lidelse og der udskrives årligt ca. 0,5 mio recepter på antibiotika til UVI. 	Uvi forårsages i langt de fleste tilfælde bakterier fra mave-tarm-kanalen der via urinrøret giver blærebetændelse, hvorefter den kan sprede sig yderligere. 	90% af tilfældene foreårsages af E. Coli bakterien. Kloner af E.coli har udarbejdet egenskaber, der gør det nemmere at kløbe til blæreslimhinden. 	Hyppig og smertefuld vandladning, ømhed over blæren samt fornemmelse af manglede blæretømning, ildelugtende og blodig urin kan forekomme. Feber og smerter i siden taler for nyrebækkenbetændelse og dårlig almentilstand evt. med falende blodtryk taler på urosepsis. 	Urinstix til at måle leukocytter, urindyrkning afgører om der er tale om infektion eller om anden lidelse må mistænkes. Ved mistanke suppleres der med ultralyd, CT med kontranst eller kikkertundersøgelse. 		Halvdelen af simple tilfælde vil forsvinde af sig selv, urin med lav pH er bedre til at slå bakterier ihjel, derfor anbefales det at drikke tranebærsaft og rigeligt med væske. Symptomatisk UVI behandles med antibiotika, der har ekstrem hurtig effekt. Hvis patient er alment påvirket anbefales det at indlægge til observation. 	Forebygges ved at kvinden tisser efter samleje, i særlige tilfælde gives længerevarende forebyggende antibiotika, urinen undersøges for bakterier hos den gravide. 	Simpel blærebetændelse behandles 100%. Ved gentagne nyrebækkenbetændelser kan der ses ar på nyren, men giver sjældent nedsat nyrefunktion. 	Høj
Erysipelas (rosen)		Infektionssygdomme 	Skylde akut, ofte velafgrænset streptokokinfektion med spredning via de øverste hudlag til det omgivende væv.	Forekommer overvejende hos ældre patienter, især personer med svær overvægt, diabetes eller anden komobiditet på baggrund af kronisk lymfødem og nedsat immunforsvar. 	Svamp, eksem eller andre kroniske inflammatoriske lidelser er den typiske indgangsport for infektionen, hvor huden allerede er medtaget og sårbar. Bakteriernes enzymproduktion gør det muligt, at spalte det underliggende bindevæv med overfladisk spredning. 	Typisk forårsaget af A-streptokokker. 	Klassiske inflammationstegn: rødme, varme, hævelse og smerte. Evt. ledsaget med kulderystelser, feber, hovedpine, kvalme og opkastninger.  Typisk lokaliseret på fod/underben, arm eller ansigt. 	Diagnose stilles ved fund af de klassiske symmptomer. Ved mistanke om bakteriel infektion tages blodprøve, hvor infektionsmarkører undersøges. Evt. suppleres der med mikroskopi og bloddyrkning. 		Behandles med antibiotika, støttestrømer eller kompression for at undgå væskeansamlingwer i ben, rensning og pleje af sår, røde bade emd god kløestillende effekt, desinficerende og udtørrende effekt på væskende sår. Hvis pt er sengeliggende gives blodfortyndende medicin for at profylaksere blodpropper. 	Vandrivende medicin og støttestrømper, regelmæssig fodpleje, ved mistanke om svamp eller infektion bør læge søges. Ved hyppigt rediciv kan forebyggende antibiotika komme på tale. 	God. Dog kan svære tilfælde føre til længerevarende indlæggelse og genoptræning. 	Mellem
Impetigo (børnesår)		Infektionssygdomme 	Karakteriseret ved gulligt skorpebelagt, røde og kløende hudelementer. 	Kaldes børnesår, da det er den hudinfektion der hyppigst optræder blandt mindre børn. 	Personer der bærer eller er nyligt smittede med streptokkokker eller stafylokokker er i risiko for at få impetigo. Spredning af bakterier kan ske fra alle sårelementer eller fra f.eks. Næsebor. 	Skylde især infektion med stafylokokker eller streptokokker. 	Lokal irritation med røde, kløe og gullige skorpebelægninger. Hyppigt lokaliseret i ansiget omkring kinder, næsefurer og læber, men kan også forekomme på resten af kroppen. 	Der podes fra sår, næsebor, svælg og mellemkød, hvorefter der udføres mikroskopi og dyrkning med henblik på bakteriebestemmelse. 		Mindre inficerede hudelementer behandles med antibiotika i form af salve eller creme. Større udbrud bør behandles med peroral antibiotika. 	God håndhygiejne, tildækkes sår med plaster eller gaze, håndklæder bør anvendes separat. Børn med atopisk eksem er i øget risiko, derfor bør der rettes et øje og forebyggende behandling. 	Ikke alvorligt og danner ikke ar. Der ses hyppigt rediciv og man må i så fald fastholde de hygiejniske behandlingsprincipper. 	Høj
Bakteriel og viral meningitis (hjernehindebetændelse)		Infektionssygdomme 	Inflammation af hjernehinderne og det subaraknoidale rum. 	Ca. 200 tilfælde af bakteriel meningitis og ca. 500 af viral. 	Forudsætningen for at en mikroorganisme kam forårsage meningitis beror på den evne til at gennemtrænge CNS, hvilken kan ske på følgende måder: via blod, invasion f.eks. Mellemøre eller bihule, medfødt deffekt, via nerverne ved nerveinficerende virus. Aktivering af PRRs receptorer udløser inflammatorisk respons. 	Hyppigste årsager er pneumokokker og meningokokker, der tilsammen står for 80% af alle tilfælde. Øget risiko ved alkoholmisbrug, fedme og dårlig ernæringstilstand. 	Hovedpine, feber og nakke-rygstivhed, lysskyhed, kvalme, opkastninger, neurologiske påvirkning (lammelse, krampe, bevisthedspåvirkning) og tilstedeværelse af petekkier. 	Klinisk vurdering af pt mht. nakke-rygstivhed, petekkier, bevidsthedspåvirkning. Neurologisk undersøgelse. For at afklare om pt har meningitis og om den er bakteriel eller viral skal deres foretages lumbalpunktur for at undersøge cerebrospinalvæsken. Fund der tyder på infektion er øget antal leukocytter. For at udelukke andre ting der kunne forårsage disse symptomer kan billeddiagnostiske undersøgelser som CT eller MR være relevant. 	Sprede sig til hjernevævet, give følgesygdomme såsom døvhed/hørenedsættelse, kronisk hovedpine, koncentrationsbesvær eller epilepsi. 	Behandling påbegyndes hurtogst muligt efter bekræftet mistanke. Høje doser antibiotika intravenøst kombineret med glukotikoid, der kan hæmme det inflammatoriske respons. 	Vaccination er en vigtig faktor i forebyggelse mod bakteriel meningitis. Alle former for bakteriel meningitis er anmeldelsespliggtige, hvorfra der kan smittespores. Ved mistanke isoleres pt og gives engangsantibiotika. 	Mortaliteten af bakteriel meningitis angives til mellem 5-30%. Prognonsen ved viral er generelt god med minimal mortalitet. Op til 50% af de overlevende har alvorlige mén iform af koncentrationsbesvær, nedsat hukommelse og hovedpine. 	Høj
Sepsis (blodforgiftning)		Infektionssygdomme 	Sepsis er en livstruende påvirkning af et eller flere organg, forårsaget af en uhensigtsmæssig systemisk værtreaktion på infektion. SOFA-score anvendes til at bestemme sværhedsgraden. 	ca. 30.000 årlige tilfælde i DK. 	Sepsis indtræder når mikroorganismer undgår immunsystemet og formerer sig loaklt og spreder sig fra det primære infektionsstes til andre organsystemer via omgivende væv eller blod- og lymfebanen. 	Sepsis skyldes hyppigst enterobakterier, men også virus, svampe og parasitter kan føre til sepsis. 	Symptomer er ikke organspecifikke. Ofte ses feber eller afkøling, hurtig vejrtrækning, åndenød, kulderystelser, kølig og misfarvet hud samt svækket bevidsthed. 	Diagnose stilles ved at påvise mikroorganismer i blod eller sekreter sammenholdt med mistanken om infektion og de kliniske fund. Udover bloddyrkning tages altid materiale fra det mistænke påvirkede organ. 		Behandling er antibiotika, væsketerapi og elimination af infektionsfokus. 	Personer med immundefekt bør vaccineres mod pneumokokker, influenza og meningokokker. 	Dødeligheden er høj, da 1 ud af 6 dør inden for 30 dage. Årligt dør 4000-5000 årligt af sepsisrelateret sygdom. 	Mellem
Urogenital klamydia 		Infektionssygdomme 	Urogenital klamydia er en seksuelt overførbar infektion, der skydles infektion med bakterien Chlamydia trachomatis. Lokaliseret til urinrør og kønsdele. 	Hyppigst seksuelt overførte bakterielle infektion i DK. I 2017 blev der påvist ca. 33.000 tilfælde. 	Smitte med klamydia kræver direkte kontakt mellem bakterie og slimhinde. 	Skyldes smitte med bakterien Chlamydia trachomatis og overføres typisk ved ubeskyttet vaginalt, analt eller oralt ssamleje. Børn kan smittes under fødslen. 	Hyppigste symptom er svie ved vandladning og udflåd, der kan blive lidt pusagtigt. Kvinder kan opleve kontaktblødning under samleje. Oftest er den dog uden symptomer, hvoraf 75% er kvinder og 50% mænd. Hvis bakterien vandrer opad kan der udvikles underlivsinfektion, der vil give smerter og feber. Mænd kan få bitestikelbetændelse. 	Der podes i urinrøret og i cervix samt vagina. 	Klamydia kan medføre reaktiv atritis (ledbetændelse). Underlivsbetændelses kan føre til aflukning af æggeleder og efterfølgende årsag til barnløshed eller graviditet uden for livmoderen. 	Antibiotika i tabletform. 	Forebygges ved beskyttet sex, smitteopsporing og behandling af partnere. 	Behandling med antibiotika kurerer infektionen. Ubehandlet kan føre til underlivsbetændelse, der øger risikoen for ufrivillig barnløshed, graviditet uden for livmoderen og smerter i underlivet. 	Mellem
Gonorré		Infektionssygdomme 	Seksuelt overført infektion der skyldes bakterien Neisseria gonorrhoeae. 	Ca. 3400 tilfælde årligt. 	Overføres ved slimhindekontakt og forårsager en betændelsestilstand, der hvor bakterien inficerer. 	Forårsages af bakterien Neisseria gonorrhoeae og overføres ved ubeskytte sex. Børn kan smittes under fødsel. 	For mænd ses typisk pusfyldt udflåd og mange beskriver det som at tisse glasskår. Hos kvinder ses typisk ændret udflåd iform af uklart til pusfyldt sekret fra vagina. Tegn på betændelse ses ved rødme og hævelse af livmodermund. Hos op til 50% af kvinder og 10% mænd er sygdommen aymptomatisk. 	Podning, ved mikroskopi kan bakterien eftervises. 	Underlivsbetændelses kan føre til aflukning af æggeleder og efterfølgende årsag til barnløshed eller graviditet uden for livmoderen. 	Antibiotika som enkeltdosis der gives som injektion eller tabletbehandling. Hvis det er kompliceret så gives injektionsbehandling over flere dage	Beskyttet sex, smitteopsporing. 	Behandling med antibiotika kurerer infektionen. Ubehandlet kan føre til underlivsbetændelse, der øger risikoen for ufrivillig barnløshed, graviditet uden for livmoderen og smerter i underlivet. 	Mellem
